"부동산물건uid(부동산물건uid)","시도명(시도명)","시군구명(시군구명)","구명(구명)","읍면동명(읍면동명)","리명(리명)","번지(번지)","기타번지(기타번지)","아파트명(아파트명)","총세대수(총세대수)","총동수(총동수)","단지최고층(단지최고층)","단지최저층(단지최저층)","준공연월(준공연월)","건설업체명(건설업체명)","난방방식(난방방식)","난방연료(난방연료)","주차대수(주차대수)","관리사무소전화번호(관리사무소전화번호)","분양권여부(분양권여부)","입주년월(입주년월)","단지특성(단지특성)","우편번호(우편번호)","주상복합여부(주상복합여부)","빌라연립여부(빌라연립여부)","구청명(구청명)","동사무소명(동사무소명)","파출소명(파출소명)","소방서명(소방서명)","은행명(은행명)","병원명(병원명)","스포츠센터명(스포츠센터명)","쇼핑센터명(쇼핑센터명)","학교명(학교명)","공원명(공원명)","일반버스번호(일반버스번호)","좌석버스번호(좌석버스번호)","지하철노선명(지하철노선명)","지하철역명(지하철역명)","소요시간(소요시간)","법정동코드(법정동코드)","리모델링여부(리모델링여부)","단지 좌표 X값(단지 좌표 X값)","단지 좌표 Y값(단지 좌표 Y값)"
"KBA002086","서울특별시","도봉구",,"도봉동",,"643",,"서*****","159","3","10","5","199909","도시개발공사","개별","도시가스","0","02-3491-8468","F","199909","도봉역도보7분, 인근 도봉중.창도초중.서울문화고등학교, 도봉구청과주민센터인근,인근 중량천","01323","F","F",,,,,"국민,신한,제일,",,,"롯데마트,하나로마트 , 롯데","누원,도봉초, 도봉, 도봉,북서울중, 누원,도봉고",,"1127, 1128, 1139, 1145, 5-2",,"1호선, 7호선","도봉, 수락산","도보5 분, 도보5 분","1132010800","F","960295.6606434","1964413.6740786"
"KBA002218","서울특별시","도봉구",,"도봉동",,"30-1",,"도*****","2678","25","17","11","199309","한신공영","개별","도시가스","3000","02-954-2155","F","199309","동방향이나 도로인접(소음)에 따라 시세 차이가 큼.","01318","F","F","도봉","도봉2","도봉",,"신한은행, 제일은행","이가정내과, 소아과, 연세소아과, 내과, 백병원",,"이마트, 농협하나로마트, 롯데, 롯데","누원, 도봉, 도봉, 누원","인근공원","100, 106, 107, 108, 1018,1127,1128,1148,1151, 140,141,142,150,160,161",,"1호선","도봉산역","도보5 분","1132010800","F","960126.8985671","1965308.6465506"
"KBA002375","서울특별시","도봉구",,"쌍문동",,"285-5",,"동*****","495","4","15","15","198705","극동건설","개별","도시가스","396","02-994-2827","F","198705",,"01379","F","F",,,,,,"한일병원",,"이마트, 농협하나로클럽, 롯데","숭미,쌍문, 선덕,정의여자, 선덕,정의여자",,"1119,1128,1157",,"1호선, 4호선, 4호선","창동, 수유, 쌍문","버스10분, 버스10분, 도보10분","1132010500","F","958079.7107065","1961421.7885205"
"KBA002619","서울특별시","도봉구",,"쌍문동",,"199-1외 3필지","206-5,206-6,206-7","금*****","690","7","15","15","199009","금호건설","개별","도시가스","340","02-6436-9579","F","199009","21평 a타입56.78, b타입54.48 임 등기부확인함","01386","F","F","도봉","쌍문4, 엔크린","도봉",,"국민","김이비인후과, 한경원피부과, 이수현소아과, 이수현내과, 다인치과, 한일","명성, 한양","E마트, 창동농협하나로클럽, 롯데","창경, 백운, 정의여자","단지, 407, 29","127",,"1호선, 4호선","창동역, 창동역","도보10분, 버스5 분","1132010500","F","958843.114422","1962262.2105573"
"KBA002747","서울특별시","도봉구",,"도봉동",,"87외2필지","87,87-1,87-2","삼*****","660","4","15","15","198710","삼환까뮤","중앙","도시가스","990","02-955-1315","F","198711","도봉역 1호선 중심지 입니다.","01320","F","F",,,,,"국민,신한,제일",,,"롯데마트,하나로마트","도봉초등학교, 누원,도봉, 누원 ,도봉,북서울, 누원,도봉",,"1127, 1128, 1139, 1145, 5-2",,"1호선, 7호선","도봉, 수락산","도보5 분, 도보5 분","1132010800","F","960197.3317798","1964720.0864271"
"KBA002748","서울특별시","도봉구",,"창동",,"26",,"동*****","600","6","15","15","198901","동아건설","지역","도시가스","720","02-904-1785","F","198812","인근상계주공19단지38평보다 동아39평이 1평차이지만 전용은 3평정도 더크다.10.10.19 삼성공인","01416","F","F",,,,,,,,,,,,,"1호선, 4호선, 7호선","창동, 창동, 노원","도보4 분, 도보4 분, 도보10분","1132010700","F","960310.1961204","1961440.6868867"
"KBA002753","서울특별시","도봉구",,"쌍문동",,"73",,"경*****","264","2","12","8","198802","경남기업","개별","도시가스","264","02-900-3119","F","198802",,"01436","F","F",,,,,,,,"세계로","창경,한신, 백운,정의여자,경희여자, 정의여자,선덕,경희여자","쌍문근린",,,"4호선","쌍문역","도보5 분","1132010500","F","958977.4367744","1961806.8604689"
"KBA002758","서울특별시","도봉구",,"창동",,"808",,"동*****","1981","18","24","16","199706","동아건설","지역","열병합","0","02-995-8379","F","199706","16.8.22  59.44(25평), 59.76(25평)전용은 방 3개, 59.96전용(24평) 방2개.창동","01411","F","F","도봉",,"도봉",,,,,"이마트.빅마켓.하나로마트.홈플러스","자운.창동, 노곡.도봉.창동.창동.창북.창일, 서울문화.서울외국어.자운.정의여자.창동",,"72-3.1119.1161",,"1호선, 4호선","창동역, 창동역","도보5 분, 도보5 분","1132010700","F","960132.1116459","1962012.6269202"
"KBA003386","서울특별시","도봉구",,"방학동",,"736",,"신*****","104","1","16","12","199505",,"개별","도시가스","104","02-3493-0591","F","199505","35평형 전용면적 두가지임(8호라인84.94와 그외84.74)","01359","F","F","도봉","방학3, 방학","도봉",,"서울은행, 국민은행","최재영치과, 이계자소아과, 한일","한양, 명성","하나로마트, E마트, 미도파","신학, 선덕, 선덕","10",,"2",,,,"1132010600","F","958427.2188572","1962628.2953015"
"KBA003471","서울특별시","도봉구",,"방학동",,"738",,"신*****","153","1","18","15","199810",,"개별","도시가스","207","02-3493-8819","F","199808",,"01359","F","F","도봉","방학3, 방학","도봉",,"국민은행, 주택은행","김이비인후과, 유덕기내과, 배소아과, 남재형치과, 이근환정형외과, 정","명성, 한양","하나로마트, E마트, 미도파","방학, 신방학, 정의여자","10, 35",,,,,,"1132010600","F","958394.6928393","1962752.4235315"
"KBA004060","서울특별시","도봉구",,"쌍문동",,"195","195-1","쌍*****","236","3","18","15","199608","청구건설","개별","도시가스","236","02-992-7640","F","199608",,"01385","F","F",,,,,,"한일종합병원, 정병원",,"이마트, 하나로마트","창경, 한신, 동북, 백운, 선덕, 정의, 선덕, 정의",,"5,6",,"4호선","쌍문","버스5 분","1132010500","F","958931.5488076","1962349.7069157"
"KBA004138","서울특별시","도봉구",,"쌍문동",,"158","158-1","한*****","408","3","15","8","199309","한양","개별","도시가스","0","02-991-9713","F","199105",,"01433","F","F",,,,,,,,,"창경, 백운, 선덕",,"1165,1157,1120",,"4호선","쌍문","도보10분","1132010500","F","958885.4513641","1961953.2975646"
"KBA004165","서울특별시","도봉구",,"쌍문동",,"산69-1외5필지","산69-2,산69-3,234,239-3","금*****","386","5","15","11","199009","금호건설","개별","도시가스","386","02-906-6054","F","199009",,"01429","F","F",,,,,,,,,,,"127, 407, 432","400","1호선, 4호선","창동, 쌍문","도보5 분, 버스7 분","1132010500","F","958456.9637489","1962057.5448196"
"KBA004311","서울특별시","도봉구",,"창동",,"804",,"창*****","952","7","19","8","199511","대우","개별","도시가스","1142","02-998-6973","F","199512",,"01465","F","F",,,,,,,,"sm마트, 우영마트","창림, 창북, 창동",,,,"4호선","쌍문역","도보5 분","1132010700","F","959195.8773858","1960404.2082326"
"KBA004387","서울특별시","도봉구",,"도봉동",,"595",,"럭*****","630","5","15","15","199209","GS건설","개별","도시가스","0","02-954-0331","F","199209",,"01306","F","F",,,,,,,,,,,,,,,,"1132010800","F","959822.327654","1964506.1659321"
"KBA004441","서울특별시","도봉구",,"쌍문동",,"321",,"금*****","87","1","14","9","199712","금용건설","개별","도시가스","2","02-900-2247","F","199711",,"01445","F","F",,"쌍문3",,,,"한전",,"이마트.빅마켓.하나로클럽, 롯데","숭미.쌍문, 강북.선덕.신도봉.정의여자.효문, 선덕.새그루패션디자인.정의여자.창동.효문","쌍문근린","1119.1128",,"4호선","쌍문역","버스20분","1132010500","F","958356.369541","1961189.1979727"
"KBA004543","서울특별시","도봉구",,"방학동",,"720-18",,"방*****","603","11","22","21","200210","삼성물산","개별","도시가스","650","02-3491-4869","F","200210","49평 105동 중랑천 조망으로 다른동과 시세 차이큼 -상위평균가","01336","F","F",,,,,,,,"롯데마트",,,,,"1호선","방학","도보5 분","1132010600","F","960095.8962672","1963169.5960107"
"KBA004553","서울특별시","도봉구",,"쌍문동",,"388-33","103-147,395-4","쌍*****","824","8","14","12","198706","한양건설","개별","도시가스","495","02-907-2334","F","198611",,"01449","F","F",,,,,,,,,"한신, 숭미, 신도봉, 정의여자",,,,"4호선","쌍문역","도보5 분","1132010500","F","958626.4147734","1960841.084989"
"KBA004689","서울특별시","도봉구",,"쌍문동",,"725","382","삼*****","407","10","15","11","200207","삼성물산","개별","도시가스","407","02-998-6615","F","200207",,"01450","F","F",,,,,,,,"이마트","쌍문,승리, 도봉여자,정의여자, 강북,정의",,"12, 127, 19",,"4호선","쌍문역","도보5 분","1132010500","F","958411.0474168","1960944.9954634"
"KBA004746","서울특별시","도봉구",,"창동",,"299",,"상*****","694","5","14","12","198711","동성","개별","열병합","347","02-906-2953","F","198708",,"01402","F","F",,"창5",,,"외환.하나.농협.국민.신한",,"시립창동운동장","이마트.하나로.하나로.빅마켓.롯데슈퍼","창동.창원, 창북.정의여자.창일.노곡, 창동.정의여자.서울외국어.자운",,"1120.1127.1157",,"1호선, 4호선","창동역, 창동역","도보5 분, 도보5 분","1132010700","F","959652.6844421","1961712.0939236"
"KBA004900","서울특별시","도봉구",,"쌍문동",,"721",,"쌍*****","315","4","12","10","199609","극동건설","개별","도시가스","2","02-991-1907","F","199609","쌍문역도보5분,인근 숭미초.쌍문초.효문중.선덕중.정의여중고, 하나로마트.이마트 차로5분,인근 롯데마트KBA0","01380","F","F",,,,,,"한일병원",,"농협하나로클럽, 이마트, 롯데","쌍문, 숭미, 선덕, 정의여자, 정의여자, 선덕",,"1119, 1128, 1157",,"1호선, 4호선","창동, 쌍문","버스10분, 도보10분","1132010500","F","958314.9291709","1961441.3270284"
"KBA004905","서울특별시","도봉구",,"창동",,"635-42","635-1,26","건*****","300","6","19","4","200208","건영","개별","도시가스","397","02-900-1653","F","200208",,"01462","F","F",,,,,,,,,,,,,,,,"1132010700","F","958870.5915063","1960290.7839762"
"KBA005153","서울특별시","도봉구",,"쌍문동",,"153외2필지","153,153-6,152-11","기*****","83","3","5","4","198812","기용건설","개별","도시가스","40","02-908-8365","F","198812",,"01437","F","F","도봉","쌍문제2","도봉",,"국민은행, 주택은행","한경원피부과, 예림치과, 김윤석이비인후과, 양의종소아과, 한일병원","명성스포츠클럽","농협하나로클럽, 이마트, 미도파","창경, 백운, 정의여자","인근공원, 단지공원",,,,,,"1132010500","F","958937.1967189","1961759.0925257"
"KBA005178","서울특별시","도봉구",,"쌍문동",,"486-18",,"우*****","114","6","3","3","198608",,"개별","도시가스","114","02-905-7776","F","198606",,"01371","F","T",,,,,,,,,,,,,,,,"1132010500","F","957532.8894351","1961980.5013667"
"KBA005378","서울특별시","도봉구",,"창동",,"816",,"창*****","92","2","24","22","200111","현대산업개발","개별","도시가스","135","02-902-2762","F","200112","전철 1.4호선 역세권 도보7분&lt;민원심한 단지&gt;- 중개업소로 입주민 민원이 거세 쌍용공인은 업소미","01409","F","F",,,"도봉경찰서",,,"백병원",,"미도파","자운초등학교",,,,"1호선, 4호선","창동, 창동","도보5 분, 도보5 분","1132010700","F","959944.0669198","1962366.3002706"
"KBA005392","서울특별시","도봉구",,"방학동",,"735외 3필지","735-1,735-2,735-3","성*****","258","4","15","11","199606","성원건설","개별","도시가스","387","02-954-9573","F","199510",,"01389","F","F",,"방학3",,"도봉",,"한일",,"까르푸,홈플러스,빅마켓","방학, 방학, 선덕",,"130",,"1호선","방학역","버스10분","1132010600","F","959091.9439913","1962584.7655015"
"KBA005465","서울특별시","도봉구",,"창동",,"811","746-33","대*****","188","2","19","19","199812","대동건설","개별","도시가스","376","02-995-7267","F","199812","***방학역 7분거리에 위치함. ***수락산 조망권이 아주좋음....***단지 바로앞쪽으로 초등학교 신설됨.","01397","F","F",,,,,,,,,,,,,,,,"1132010700","F","959780.7657796","1962561.099956"
"KBA005627","서울특별시","도봉구",,"방학동",,"731","101~103동 한화,104동 성원","한*****","342","4","15","9","199604","한화건설","개별","도시가스","260","02-3491-0486","F","199604",,"01383","F","F","도봉","방학3, 방학","도봉",,"국민","유덕기내과, 이계자소아과, 이근환정형외과, 이수동피부과, 정재균치과, 한일","한양, 명성","하나로마트, 롯데","신학, 선덕, 선덕","423, 단지, 10",,"2","1호선","방학역","버스10분","1132010600","F","958698.5576013","1962522.8864303"
"KBA005783","서울특별시","도봉구",,"창동",,"821",,"초*****","213","2","17","13","200510","신도종합건설","개별","도시가스","0","02-900-7317","F","200510","세인연립 재건축","01481","F","F",,"창",,,,"한일병원",,"이마트,창동하나로마트","신화, 신창, 염광, 월계, 신창, 월계, 신일, 염광여자, 영훈, 염광",,"1124, 1133",,"1호선, 4호선, 4호선","성북, 수유, 창동","버스10분, 버스10분, 버스10분","1132010700","F","959572.6277573","1959445.3504388"
"KBA005800","서울특별시","도봉구",,"방학동",,"272","271-4,271-1,272-1,271-5","신*****","3169","30","15","10","198807",,"개별","도시가스","4754","02-955-0125","F","198801",,"01382","F","F","도봉","방학3","도봉",,"국민은행, 우리은행","유덕기내과, 이계자소아과, 이근환정형외과, 어수동피부과, 정재균치과, 한일","한양, 명성","이마트,홈플러스,하나로, 롯데,신세계,현대","신학,동북(사립), 선덕,신방학,방학, 선덕,노원,창동",,"333","2","1호선","방학역","도보15분","1132010600","F","958535.3279659","1962506.1631951"
"KBA006037","서울특별시","도봉구",,"쌍문동",,"59-5",,"쌍*****","582","6","15","7","199106","한양","중앙","도시가스","600","02-991-7809","F","199106","32B:604동6라인 15세대","01434","F","F","도봉","엔크린, 쌍문4","도봉",,"한빛은행, 조흥은행","이수현소아과, 한경원피부과, 김이비인후과, 이수현내과, 손익수치과, 한일","한양, 명성","유경마트,  이마트, 하나로마트, 까르푸, 롯데마트, 하이마트 , 롯데","창경, 백운, 선덕","407, 단지공원, 29",,,,,,"1132010500","F","958503.8351686","1961924.1434971"
"KBA006426","서울특별시","도봉구",,"창동",,"813",,"현*****","205","2","18","18","200005","현대건설","개별","도시가스","1","02-997-9683","F","200005",,"01402","F","F",,,,,,,"구민회관 체육센타","이마트, 농협하나로","창일, 노곡, 서울외국어",,"12.13.19.20","112.900","1호선, 4호선","창동역, 창동역","도보5 분, 도보5 분","1132010700","F","959502.6098844","1961912.8208433"
"KBA006429","서울특별시","도봉구",,"창동",,"305",,"주*****","808","6","15","15","199005","대한토지주택공사","중앙","도시가스","1212","02-905-1694","F","199009",,"01427","F","F",,,,,,"백병원, 을지병원, 한일병원",,"이마트,하나로","창원, 창북중, 정의여자, 창동고, 정의여자",,,,"1호선, 4호선","창동, 창동","도보6 분, 도보6 분","1132010700","F","959361.6750623","1961652.867568"
"KBA006485","서울특별시","도봉구",,"방학동",,"734외 4필지","734,734-1,쌍문동720,720-1,720-2","청*****","978","10","15","9","199111","청구주택","개별","도시가스","1467","02-3491-0208","F","199111",,"01363","F","F",,,,,,,,,,,,,,,,"1132010600","F","958195.5825802","1962155.7031135"
"KBA006549","서울특별시","도봉구",,"쌍문동",,"59",,"한*****","660","2","15","15","198901","한양","중앙","도시가스","660","02-995-1469","F","198911","한양2차(1동~6동)동향,남향이 섞여있고,  한양3차(7~8동) 동향만 있음. 한양4차(9~10동)임.(지번","01430","F","F",,,,,,,,"홈플러스,롯데","창경,동북, 백운,정의여자,선덕, 정의여자,선덕","쌍문근린","127, 400, 432","84","4호선","쌍문역","도보20분","1132010500","F","958600.6598568","1962010.3956252"
"KBA006575","서울특별시","도봉구",,"방학동",,"275",,"벽*****","489","4","15","15","199109","벽산건설","개별","도시가스","0","02-3491-9331","F","198904","인근 신학초.선덕중고, 이마트.하나로마트.한양종합 스포츠 센터 공공시설 인접19평 전용면적:52.36㎡간혹","01383","F","F","도봉","방학3, 방학","도봉",,"서울, 국민","이계자소아과, 유덕기내과, 어수동피부과, 정재균치과, 이근환정형외과, 한일","명성","하나로마트, 미도파","신학, 선덕, 선덕","10",,"2","1호선, 1호선, 4호선","창동역, 방학역, 쌍문역","도보10분, 도보10분, 도보10분","1132010600","F","958779.9497206","1962414.4918609"
"KBA006761","서울특별시","도봉구",,"방학동",,"720-1","720-14번지외10필지","대*****","1278","16","23","19","200110","대상","개별","도시가스","1600","02-6223-8272","F","200110","단지옆 초중고, 방학역 도보5분, 롯데마트 도보5분, 중랑천 인접전철1호선 방학역 도보5분","01337","F","F",,,,,,,,"롯데마트, 하나로클럽, 홈플러스, 롯데","창동중학교, 자운고등학교",,,,"1호선","방학","도보5 분","1132010600","F","960187.2874924","1962986.7754931"
"KBA006823","서울특별시","도봉구",,"방학동",,"507외 1필지","507-1","우*****","658","8","15","12","199207","우성건설","개별","도시가스","790","02-956-6778","F","199110","쌍문역도보7분, 초당초.선덕중고.경희여중고인근, 더불어마트도보4분, 이마트차로 10분","01364","F","F",,"방학3","신방학",,,,"초당","빅마켓.이마트.홈플러스.하나로클럽, 롯데","동북.신학.초당, 방학.신방학.선덕.효문, 선덕.세그루패션디자인.정의여자.효문","쌍문근린.솔밭.북서울꿈의숲","101.1120.1157",,"4호선","쌍문역","도보10분","1132010600","F","958025.6919679","1962164.6059952"
"KBA006915","서울특별시","도봉구",,"방학동",,"274",,"삼*****","476","4","14","14","198807","삼익건설","개별","도시가스","714","02-956-1256","F","198801","인근 방학초.중.선덕고, 이마트.하나로마트.한양종합 스포츠 센터 공공시설 인접","01384","F","F","도봉","방학3동, 방학동","도봉",,"국민","조의숙내과, 남재형치과, 정인규이비인후과, 한일","명성, 한양","이마트, 하나로마트, 미도파","방학, 방학, 선덕","10, 423",,,"1호선, 4호선","창동역, 창동역","도보10분, 도보10분","1132010600","F","958908.1765106","1962465.789181"
"KBA006935","서울특별시","도봉구",,"쌍문동",,"56",,"삼*****","1541","14","15","15","198809","삼익주택","개별","도시가스","1541","02-900-6450","F","198712",,"01431","F","F",,,,,,"한전",,"홈플러스, 이마트, 농협하나로,빅","창경, 한신, 동북, 백운, 정의, 선덕,신방학, 정의, 선덕,세그루패션디자인","북한산국립,쌍문그린","127","84","1호선, 4호선","창동역, 창동역","버스15분, 도보10분","1132010500","F","959060.8583303","1962079.1160806"
"KBA007043","서울특별시","도봉구",,"쌍문동",,"256",,"에*****","71","2","11","11","199411","신원종합개발","개별","도시가스","142","02-999-7831","F","199411","쌍문역버스로7분, 인근 창경초. 백운중.선덕고.정의여중고","01429","T","F","도봉","엔크린, 쌍문4","북부",,"조흥은행, 제일은행","한경원피부과, 손일수치과, 김이비인후과, 이수현소아과, 이수현내과, 한일","한양, 명성","E마트, 하나로마트, 미도파","동북, 선덕, 선덕","407, 29",,,,,,"1132010500","F","958390.2795356","1962074.694224"
"KBA007220","서울특별시","도봉구",,"창동",,"743-15","743-5, 공고시 743-15번지외7필지","창*****","194","2","18","16","200105","성원산업개발","개별","도시가스","420","02-997-2079","F","200106",,"01408","F","F",,,,,,,,,"자운, 창동, 도봉정보산업",,"235-1",,,,,"1132010700","F","960346.3729424","1962451.3232563"
